Title,Description,ISBN,Publish Year,Cover Image URL,Borrow Link
Women in Love,"""Seen by Lawrence as his most accomplished book, but subject to the initial prudery and incomprehension that met most of his fiction, Women in Love examines the regenerative and destructive aspects of human passion, as illustrated by its depiction of Ursula and Gudrun Brangwen - who first appeared in The Rainbow - and their relationships with Gerald Crich and Rupert Birkin. Set against the backdrop of a world consuming itself in war, the novel creates an instructive vision of humanity's dance with life and death."" ""This text is the famous ""first"" Women in Love, the unexpurgated version preferred by Lawrence himself, which was rejected by every publisher because of the banning of The Rainbow in 1915. More positive in tone than the revised version published in his lifetime, with different central relationships and a radically different ending, it is now viewed by many as Lawrence's masterpiece.""--BOOK JACKET.",9780521280419,1987-05-21,http://books.google.com/books/content?id=5qolPyJ8pHgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL81294W
The Secret of Chimneys,"The Secret of Chimneys Never do favors—that’s the lesson it would’ve behooved Anthony Cade to learn before getting himself wrapped up in a case of conspiracy and murder. Politician George Lomax has persuaded Lord Caterham to host a weekend party at Chimneys, his country estate. Lomax hopes to cement plans to reinstate the monarchy in Herzegovina. But when the prince of Herzegovina turns up dead, Cade has a lot of explaining to do. After all, his footprints were found on the grounds . . . though not inside the house. The Secret of Chimneys As one criminal conspiracy leads to another, both Scotland Yard and the French Sûreté are on the scene to set things right. Soon, thanks to the detective work of Superintendent Battle, everyone’s secrets—and the secret of Chimneys itself—will be on display. A young drifter finds more than he bargained for when he agrees to deliver a parcel to an English country house… The Secret of Chimneys Little did Anthony Cade suspect that a simple errand on behalf of a friend would make him the centrepiece of a murderous international conspiracy. Someone would stop at nothing to prevent the monarchy being restored in faraway Herzoslovakia. The Secret of Chimneys The combined forces of Scotland Yard and the French Surete can do no better than go in circles – until the final murder at Chimneys, the great country estate that yields up an amazing secret… The Secret of Chimneys At the request of George Lomax, Lord Caterham reluctantly agrees to host a weekend party at his home, Chimneys. A murder occurs in the house, beginning a week of fast-paced events with police among the guests. The novel was well received at first publication, described as more than a murder mystery, as it is a treasure hunt. Later reviews found it a first-class romp and one of the author's best early thrillers. The most recent review says the novel requires a hefty suspension of disbelief. The later reviewers note that descriptions of characters use the terminology of the times in which it was written, and might be considered racist decades later. The Secret of Chimneys The novel was written in 1925. The characters in the story refer to events that occurred about 7 years earlier, that is, at the end of the Great War when the Austro-Hungarian and Ottoman Empires were broken up. The war is never mentioned directly. Instead, in Chapter 19, Superintendent Battle says: ""Just over seven years ago, there was a lot what they called reconstruction going on especially in the Near East."" At the same time, many royal persons were in England, including the Queen of Herzoslovakia, and Count Stylptitch; all the Balkan states were interested parties in discussions taking place. It is at this time that the Koh-i-Noor diamond disappeared in the plot. Later, in an unspecified year, the Herzoslovakians rose up against the king and his commoner wife. About that time, Mrs. Virginia Revel and her husband Tim were part of the diplomatic mission from the UK to Herzoslovakia, so that Mrs. Revel had met Prince Michael; she was the only such person at the house party, to know Prince Michael, but not the only person in the house. The time immediately after the war was when the theft, solved in this novel, happened. The Secret of Chimneys",,2021-01-01,http://books.google.com/books/content?id=XX4xEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL472542W
The Awakening,"The Awakening, originally titled A Solitary Soul, is a novel by Kate Chopin, first published in 1899. Set in New Orleans and on the Louisiana Gulf coast at the end of the 19th century, the plot centers on Edna Pontellier and her struggle between her increasingly unorthodox views on femininity and motherhood with the prevailing social attitudes of the turn-of-the-century American South.",9781387021932,2017-06-06,http://books.google.com/books/content?id=hVAoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL65430W
Animal Farm,"Animal Farm is George Orwell’s brilliant political satire and allegorical fable about the corrupting effects of power. Published in 1945 it is, to this day, one of the most famous and influential works of fiction ever written. Part of the Macmillan Collector’s Library; a series of stunning, clothbound, pocket-sized classics with gold foiled edges and ribbon markers. These beautiful hardbacks make perfect gifts for book lovers, or wonderful additions to your own collection. This edition features an introduction by journalist, award-winning writer and editor of the New Statesman, Jason Cowley. When the old Major, a highly respected white boar, gathers his fellow farm animals to preach about freedom, rebellion and the evils of man, he incites a revolution that has been brewing for years. The animals drive out their drunken farmer and create their own society – with the promise of equality for all, two scheming pigs, Napoleon and Snowball, appoint themselves leaders. What begins as a supposedly equalitarian community descends into an increasingly violent and hierarchical society, permeated by lies and corruption. Years after publication, Orwell's words remain a stark warning against the lure of fascist populism.",9781529038224,2021-01-07,http://books.google.com/books/content?id=UCryDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL1168007W
Little Women,No Description Available,,1876,http://books.google.com/books/content?id=eHI1AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL29983W
The Castle of Otranto,"The Castle of Otranto is generally regarded as the first gothic novel. It tells the story of Manfred, lord of the castle, and his family. On the wedding-day of his sickly son Conrad and princess Isabella, Conrad is crushed to death by a gigantic helmet that falls on him from above. This inexplicable event is particularly ominous in light of an ancient prophecy. Manfred, terrified that Conrad's death signals the beginning of the end for his line, resolves to avert destruction by marrying Isabella himself while divorcing his current wife Hippolita, whom he feels has failed to bear him a proper heir. The novel merged medievalism and terror in a style that has endured ever since. The aesthetics of the book shaped modern-day gothic books, films, art, music and the Goth subculture.",,2022-11-13,http://books.google.com/books/content?id=VvObEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL183675W
The Beautiful and Damned,"A meditation on love, money and decadence reflected in the life of Anthony Patch, a 1920s socialite exploring the New York cafe society scene during the Jazz Age. The story follows his relationship with his wife, Gloria, his service in the army, and his alcoholism. As in Fitzgerald's other novels, the characters are complex, especially with respect to marriage and intimacy. The book is believed to be largely based on Fitzgerald's relationship with Zelda Fitzgerald.",9781987503890,2018-04-07,http://books.google.com/books/content?id=hff9tQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL468362W
Hard Times,"The world of Hard Times For These Times revolves around a small industrial town firmly in the grip of one businessman. Bounderby is owner of the local mill and Gradgrind, his employee, is the schoolmaster--together they define and enforce the town's moral character with an iron fist. Many of the characters--including Gradgrind eventually--try and fail to resist Bounderby's influence, to their own demise. Published in 1854, the novel revealed Dickens' sharpest views on capitalism and its questionable moral underpinnings and spurred significant critical debate among his contemporaries. This is a free digital copy of a book that has been carefully scanned by Google as part of a project to make the world's books discoverable online. To make this print edition available as an ebook, we have extracted the text using Optical Character Recognition (OCR) technology and submitted it to a review process to ensure its accuracy and legibility across different screen sizes and devices. Google is proud to partner with libraries to make this book available to readers everywhere.",,1854,http://books.google.com/books/content?id=03RFjIVjBoMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL8193387W
Die Leiden des jungen Werthers,No Description Available,,1774,http://books.google.com/books/content?id=4XBIAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL52556W
Anne of Green Gables,"A celebration of the transformative power of love, Lucy Maud Montgomery's beloved children's classic is a brilliantly warm and funny portrait of a girl who has a second chance at childhood. Designed to appeal to the booklover, the Macmillan Collector's Library is a series of beautiful gift editions of much loved classic titles. Macmillan Collector's Library are books to love and treasure. This edition of Anne of Green Gables includes the original illustrations by M. A. & W. A. J. Claus and an afterword by publisher Anna South. When red-headed orphan Anne Shirley arrives at Green Gables, she feels sure she's found the home she has always longed for. Her new adoptive parents, the Cuthberts, are less certain - they had asked the orphanage for a boy. But before long, Anne's irrepressible optimism and loving nature charms them. While her temper is unpredictable and her extravagant imagination makes her dreamily whimsical and prone to comic mishap, they come to love Anne as if she were their own child.",9781509847389,2017-05-18,http://books.google.com/books/content?id=DLx5DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL77746W
The Andromeda Strain,"From the author of Jurassic Park, Timeline, and Sphere comes a captivating thriller about a deadly extraterrestrial microorganism, which threatens to annihilate human life. Five prominent biophysicists have warned the United States government that sterilization procedures for returning space probes may be inadequate to guarantee uncontaminated re-entry to the atmosphere. Two years later, a probe satellite falls to the earth and lands in a desolate region of northeastern Arizona. Nearby, in the town of Piedmont, bodies lie heaped and flung across the ground, faces locked in frozen surprise. What could cause such shock and fear? The terror has begun, and there is no telling where it will end.",9780307816412,2012-05-14,http://books.google.com/books/content?id=kbZxbyksU84C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL46900W
Das Schloss,"Jeder Versuch, ins Schloß zu gelangen, mißlingt; so bleibt es nah und fern zugleich; seine Hierarchie fordert Gehorsam, aber die Weisungen bleiben dunkel und unverständlich. ”Dieses Dorf ist Besitz des Schlosses, wer hier wohnt oder übernachtet, wohnt oder übernachtet gewissermaßen im Schloß. Niemand darf das ohne gräfliche Erlaubnis.“ ”Alles, was über dieses Buch gesagt werden kann, ist nur tastendes Nebenher. Man muß es selbst nachlesen, Zeile für Zeile, wie hier aus einem oft lieblichen Zusammensein von Ironie und Pietät die drohende Strenge des letzten Gerichts auftaucht.“ Hans Sahl",,1994,http://books.google.com/books/content?id=eCkhAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL498434W
Siddhartha,"THE CLASSIC NOVEL OF ONE MAN’S SEARCH FOR MEANING HAS DELIGHTED, INSPIRED, AND INFLUENCED GENERATIONS This classic allegorical novel of self-discovery by Hermann Hesse has touched the lives of millions since its original publication in 1922, after Hesse had spent time in India. Integrating Eastern and Western spiritual traditions with psychoanalysis and philosophy, this simple tale, written with a deep and moving empathy for humanity, provides the reader with insight into the philosophy and thoughts that shape Siddhartha’s path to enlightenment. The story revolves around Siddhartha, a wealthy young man who, during the time of the Buddha, casts off a life of privilege and comfort to take a spiritual journey on a quest for fulfillment and wisdom. His travels lead him through a range of human experiences from hunger and want, to passion, pleasure, pain, greed, yearning, boredom, love, despair and hope. The novel is infused with the sensibilities of Hesse’s time, synthesizing differing philosophies. On his journey, Siddhartha encounters Buddhist monks, successful merchants, as well as a courtesan named Kamala and a simple ferryman who has attained enlightenment. His quest takes him from the extremes of indulgence to the rigors of self-denial. With parallels to the enlightenment of the Buddha, Siddhartha learns that wisdom cannot be taught — it must come from one’s own experience and inner struggle as true knowledge is guided from within. Siddhartha presents an original view of man and culture, and the difficult process of self-discovery that leads to compatibility, harmony, and peace. A must read for anyone seeking self-knowledge in today’s materialistic world.",9781722524722,2023-11-14,http://books.google.com/books/content?id=IJfeEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL872932W
The House of Mirth,No Description Available,,1905,http://books.google.com/books/content?id=TqDYBbxHXPwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL98587W
The Last of the Mohicans,"Two beautiful sisters make a perilous journey through the wilderness to Fort William Henry at the height of the French and Indian War, accompanied by Hawkeye, the frontier scout, and his Mohican companions, Chingachcook and Uncas.",9780873953627,1983-01-01,http://books.google.com/books/content?id=Xnpvf7RBVNgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL77958W
War and Peace,"Widely regarded as the greatest novel in any language, War and Peace is primarily concerned with the histories of five aristocratic families--particularly the Bezukhovs, the Bolkonskys, and the Rostovs--the members of which are portrayed against a vivid background of Russian social life during the war against Napoleon (1805-14). The theme of war, however, is subordinate to the story of family existence, which involves Tolstoy's optimistic belief in the life-asserting pattern of human existence. The heroine, Natasha Rostova, for example, reaches her greatest fulfilment through her marriage to Pierre Bezukhov and her motherhood. The novel also sets forth a theory of history, concluding that there is a minimum of free choice; all is ruled by an inexorable historical determinism",9781904633853,2004,http://books.google.com/books/content?id=s-OQ2yHDIMQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL267171W
The Sign of Four,"In this fascinating adventure, first published in Lippincott's Monthly Magazine in 1890, Sherlock Holmes tracks down a mysterious Indian treasure, and Dr. Watson finds romance. It is the second of four novella-length works featuring the world's first consulting detective, and offers much insight into Holmes's investigative methods, as well as some shocking revelations about his personal life.",9780899662305,1987,http://books.google.com/books/content?id=mxiVprTqREoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL262438W
The Time Machine,"H. G. Wells' The Time Machine, from 1895, popularized the idea of a vehicle that allows its user to travel intentionally and selectively across time, and indeed Wells is credited with coining the very term ""time machine."" The Time Traveler of this novella tests his time machine with a leap forward to the year 802,701 A.D., to find that evolution has produced two very different post-human races - the peaceful and childlike fruit-eating Eloi and the Morlocks - pale, darkness-dwelling troglodites who operate the underground machinery that makes this seeming paradise possible.",9781877527180,2009-01-01,http://books.google.com/books/content?id=f3H6SMzlQQwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL52267W
Eva Luna,Analyse : Roman d'amour. Roman de société.,9782253053545,1990,http://books.google.com/books/content?id=3TiCPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL1905263W
The Thirty-Nine Steps,"""I returned to the City about three o’clock on that Monday afternoon pretty well disgusted with life. I had been three months in the Old Country, and was fed up with it."" So opens John Buchan ́s The Thirty-Nine Steps and with it he creates a whole new genre: the adventure novel. Richard Hannay, the protagonist, finds himself reluctantly drawn into a chain of events that drags him away from the civilisation of London and into the Scottish wilderness, where he is chased both by villains and by policemen. This book has been adapted countless times, the most famous one certainly being Alfred Hitchcock’s 1935 version. Full of excitement and good humour, The Thirty-Nine Steps is a modern classic you’ll never want to put down. John Buchan (1875-1940) was a Scottish writer, historian and unionist. Born in Perth, he grew up in Fife where he developed the keen love for the Scottish nature that can be found in his work. After graduating from Oxford with a degree in Classics, he became the personal secretary of Alfred Milner, the Secretary of State of War and for the Colonies. Later he wrote for the British War Propaganda Bureau and was a correspondent in France for The Times. In 1935, he became viceregal representative in Canada, where he passed away five years later. He wrote throughout his life, leaving behind him hundreds of works, including novels, short shorties, and biographies of famous men such as Walter Scott and Oliver Cromwell, and he was awarded the James Tait Black Memorial Prize in 1928. Yet Buchan remains most famous for his spy thriller adventures, which have delighted readers for generations.",9789176393376,2017-01-04,http://books.google.com/books/content?id=EiLZDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL76524W
The Most Dangerous Game,"Sanger Rainsford is a big-game hunter, who finds himself washed up on an island owned by the eccentric General Zaroff. Zaroff, a big-game hunter himself, has heard of Rainsford’s abilities with a gun and organises a hunt. However, they’re not after animals – they’re after people. When he protests, Rainsford the hunter becomes Rainsford the hunted. Sharing similarities with ""The Hunger Games"", starring Jennifer Lawrence, this is the story that created the template for pitting man against man. Born in New York, Richard Connell (1893 – 1949) went on to become an acclaimed author, screenwriter, and journalist. He is best remembered for the gripping novel ""The Most Dangerous Game"" and for receiving an Oscar nomination for the screenplay ""Meet John Doe"".",9788728187494,2023-02-23,http://books.google.com/books/content?id=tQDEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL5278311W
Angels And Demons,"'Blockbuster perfection' New York Times 'Exciting, fast-paced with an unusually high IQ' San Francisco Chronicle _____________________ CERN Institute, Switzerland: a world-renowned scientist is found brutally murdered with a mysterious symbol seared onto his chest. The Vatican, Rome: the College of Cardinals assembles to elect a new pope. Somewhere beneath them, an unstoppable bomb of terrifying power relentlessly counts down to oblivion. A breath-taking race against time: Harvard professor Robert Langdon must decipher a labyrinthine trail of ancient symbols if he is to defeat those responsible - the Illuminati, a secret brotherhood presumed extinct for nearly four hundred years, reborn to continue their deadly vendetta against their most hated enemy: the Catholic Church. _____________________ Readers love Angels and Demons 'An absolute thrilling ride from start to finish' 'If you like mystery, action and thrills; this is the book for you' 'Utterly gripping. I couldn't put it down!'",9781409083948,2009-05-14,http://books.google.com/books/content?id=d5xgYw4Ts0gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL76833W
The Age of Innocence,"Newland Archer, pengacara muda berbakat, mengidamkan kemapanan di kalangan kelas atas New York demi status sebagai pria terhormat. Karena itu dia membulatkan tekad dengan menikahi May Welland dari keluarga Welland yang berpengaruh. Tetapi semua cita-cita Archer tentang status dan kehormatan buyar ketika dia bertemu Countess Ellen Olenska, sepupu May Welland yang ingin bercerai dari suaminya. Sebuah situasi yang dianggap sebagai skandal memalukan di mata masyarakat kala itu. Archer tak dapat menahan gelora hatinya. Apalagi cintanya mendapat sambutan dari sang Countess. Tetapi, mencintai sang Countess berarti mengambil risiko terbuang dari masyarakat kelas atas dan pekerjaannya sebagai pengacara mapan, sebuah tujuan yang sudah diperjuangkan Archer sepanjang hidupnya. Beranikah Archer menanggung konsekuensi itu demi cinta? Apalagi May Welland yang dianggap sebagai gadis polos dan naif ternyata tak mau melepaskan Archer begitu saja tanpa perjuangan. The Age of Innocence, prosanya yang luwes dan menggugah, karakterisasi kuat dan setting menarik, membuat novel ini mejadi favorit pembaca dan kritikus. Kisah yang menggambarkan tekanan sosial dan kisah cinta segitiga di kalangan masyarakat New York kelas atas di awal abad, 20 ini sukses mengantarkan Edith Wharton menjadi novelis wanita pertama yang memenangkan Pulitzer Prize di tahun 1920. Kisah ini juga sudah diadaptasi dalam berbagai drama, seri televisi dan film oleh Martin Scorsese di tahun 1990-an dengan bintang Daniel Day Lewis, Michelle Pfeifer dan Wynona Ryder. [Mizan, Qanita, Roman, Klasik, Novel, Terjemahan, Indonesia]",9786021637838,2015-11-03,http://books.google.com/books/content?id=8iXZCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL98491W
The Jungle Book,"Embark on a timeless adventure into the wild with ""The Jungle Book"" by Rudyard Kipling, a beloved classic that has enchanted readers of all ages for generations. Prepare to be captivated by Kipling's rich storytelling, vibrant characters, and immersive jungle setting as you journey alongside Mowgli and his animal companions through the heart of the Indian jungle. Join Rudyard Kipling as he introduces readers to the unforgettable characters of ""The Jungle Book,"" from the spirited young boy Mowgli raised by wolves to the wise and protective Bagheera the panther and the fearsome tiger Shere Khan. Through Kipling's vivid prose and evocative descriptions, you'll find yourself immersed in a world of danger, excitement, and wonder. Explore the timeless themes of identity, belonging, and the cycle of life and death as you follow Mowgli's coming-of-age journey from innocence to wisdom amidst the challenges and dangers of the jungle. Through his encounters with friends and foes alike, you'll witness the resilience of the human spirit and the power of friendship and loyalty. Join a rich tapestry of animal characters—from the playful Baloo the bear to the cunning Kaa the snake—as they navigate the complexities of jungle life and learn valuable lessons about survival, cooperation, and respect for nature. Through their adventures, you'll discover the beauty and majesty of the natural world and the interconnectedness of all living beings. Since its publication, ""The Jungle Book"" has captured the imagination of readers around the world with its timeless appeal and universal themes. Kipling's masterful blend of adventure, humor, and heart has earned it a cherished place in the canon of children's literature, inspiring countless adaptations and interpretations in various forms of media. As you journey through the pages of ""The Jungle Book,"" you'll be transported to a world of excitement and danger, where every chapter is filled with surprises and discoveries. Whether you're a child or a child at heart, this book offers an unforgettable adventure that will stay with you long after you've turned the final page. In conclusion, ""The Jungle Book"" is more than just a story—it's a timeless masterpiece that celebrates the wonders of nature, the bonds of friendship, and the power of the human spirit. Order your copy today and let Rudyard Kipling's classic tale take you on an unforgettable journey into the heart of the jungle. Don't miss your chance to experience the magic of ""The Jungle Book"" by Rudyard Kipling. Order your copy today and join Mowgli and his animal friends on an adventure you'll never forget.",9788184301724,2021-11-25,http://books.google.com/books/content?id=JKAwBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL114967W
Der Zauberberg,"‚Die Zergliederung der Welt‘: Wie der Untertitel dieses Buches anzeigt, steht in seinem Mittelpunkt die Rekonstruktion von Thomas Manns ‚analytischem Erzählen‘ im ‚Zauberberg‘. Verstanden ist darunter eine narrative Darstellung, die gleichbedeutend mit einer rationalen Analyse des Dargestellten ist. Dieses analytische Erzählen unterscheidet sich von den vertrauten Formen autoreflexiven Erzählens. Denn es bezieht sich nicht nur auf sich selbst, sondern nimmt ebenso die Gegenstände, von denen es handelt, ins Visier. Analytisches Erzählen betreibt im ‚Zauberberg‘ Analyse im etymologischen Sinn, d. h. Auflösung. Von hierher ergibt sich die Verbindung zur Geschichte, die der Roman erzählt, zur Welt des Sanatoriums, die im Zeichen von Tod und Krankheit steht. So bildet das Verhältnis von Rationalität zu Tod und Leben eines der großen Themen des ‚Zauberbergs‘. Literarhistorisch stellt er sich als ein post-realistischer Roman dar, der die Prinzipien realistischen Erzählens auf den Prüfstand stellt.",9783825347604,2020-10-22,http://books.google.com/books/content?id=smsKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL14866824W
Dune,"The Duke of Atreides has been manoeuvred by his arch enemy, Baron Harkonnen, into administering the desert planet of Dune. Although it is almost completely without water, Dune is a planet of fabulous wealth, for it is the only source of a drug prized throughout the Galactic Empire. The Duke and his son, Paul, are expecting treachery and it duly comes - but from a shockingly unexpected place. Then, when Paul succeeds his father, he becomes a catalyst for the native people of Dune, whose knowledge of the ecology of the planet gives them vast power. They have been waiting for a leader like Paul Atreides, a leader who can harness that force...",9780575073340,2001,http://books.google.com/books/content?id=deRpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL893415W
Treasure Island,"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads them to a pirate's fortune.",,1884,http://books.google.com/books/content?id=Bpo9AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL24034W
The Railway Children,"An all-time children's classic, The Railway Children, follows the adventures of three siblings after they move from London to the British countryside and discover the wonders of a railway behind their new home. After their father is accused of being a spy and mysteriously disappears, Roberta (Bobbie), Peter and Phyllis move to Three Chimney's Cottage out in the country. While their mother spends most of her time writing to earn their living, the children occupy themselves with the railway and their new friends: the station porter Mr Perks and the Old Gentleman, who rides the train every morning. After a handful of adventures and challenges, including some close scrapes and a feast of colourful characters, the children get closer to solving the mystery of their missing father and reuniting their family. But will they be able to prove their father's innocence? Adored by previous generations, E. Nesbit's delightful children's novel has stood the test of time. Originally published over 100 years ago, The Railway Children continues to be a charming story of sibling rivalry, courage and kindness. It is the perfect choice for young readers looking to build a library of their own or those looking to revisit the magic of their childhood favourites.",9781528787604,2019-06-17,http://books.google.com/books/content?id=2N6dDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL99509W
To the Lighthouse,"""To the Lighthouse features the serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests who are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Virginia Woolf constructs a moving examination of the complex tensions and allegiances of family life and the conflicts within a marriage.""--BOOK JACKET.",9781853260919,1994,http://books.google.com/books/content?id=BQjtK_H-TQoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL39396W
Anne of Windy Poplars,"Anne Shirley has graduated from Redmond College and she is getting ready to marry to Gilbert Blythe. While Gilbert is still in medical school, Anne takes a job as the principal of Summerside High School, where she also teaches. She lives in a large house called Windy Poplars with two elderly widows, Aunt Kate and Aunt Chatty, along with their housekeeper, Rebecca Dew, and their cat, Dusty Miller. During her time in Summerside, Anne must learn to manage many of Summerside's inhabitants, including the clannish and resentful Pringle family, her bitter colleague Katherine Brooke, and others of Summerside's more eccentric residents.",9788026882022,2018-04-03,http://books.google.com/books/content?id=wIVjDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL77751W
The Scarlet Letter,"The official companion edition to the 1995 film version from Hollywood Pictures, starring Demi Moore and Gary Oldman, tells the immortal story of adultery, exile, and courage in colonial Boston. Original. Movie tie-in.",9780786880935,1995-10-20,http://books.google.com/books/content?id=-v7YwzDWB1MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL455305W
The War of the Worlds,"The War of the Worlds is a novel written by H. G. Wells in 1898, depicting an alien invasion of the earth, and is often regarded as being the first to depict such a disaster. The book tells the story of a Martian invasion of Earth. The Martians, fleeing their own planet because its resources are depleted, invade Earth, landing in England, sweeping through the countryside, destroying or capturing everything in their path. Any effort by the humans to thwart the Martian advance is crushed; the alien invaders seem unstoppable. Since its publication, The War of the Worlds has entered pop.",9781603034012,1898,http://books.google.com/books/content?id=1HoBYmku9uQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL52114W
Twilight,"When 17 year old Isabella Swan moves to Forks, Washington to live with her father she expects that her new life will be as dull as the town. But in spite of her awkward manner and low expectations, she finds that her new classmates are drawn to this pale, dark-haired new girl in town. But not, it seems, the Cullen family. These five adopted brothers and sisters obviously prefer their own company and will make no exception for Bella. Bella is convinced that Edward Cullen in particular hates her, but she feels a strange attraction to him, although his hostility makes her feel almost physically ill. He seems determined to push her away - until, that is, he saves her life from an out of control car. Bella will soon discover that there is a very good reason for Edward's coldness. He, and his family, are vampires - and he knows how dangerous it is for others to get too close.",9780748112517,2009-02-26,http://books.google.com/books/content?id=lGjFtMRqp_YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL5720023W
The Portrait of a Lady,"Considered by many as one of the finest novels in the English language, The Portrait of a Lady is both a dramatic Victorian tale of betrayal and a wholly modern psychological study of a woman caught in machinations she only comes to understand too late. This new edition usefully tracks the major textual changes James made for his New York Edition.",9780199217946,2009-04-09,http://books.google.com/books/content?id=p7DFlmNWQP4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL276370W
This Side of Paradise,"This Side of Paradise is the debut novel of F. Scott Fitzgerald. The book's critical success was driven in part by the enthusiasm of reviewers. For example, H. L. Mencken wrote that This Side of Paradise was the ""best American novel that I have seen of late."" The book examines the lives and morality of post-World War I youth. Its protagonist, Amory Blaine, is an attractive Princeton University student who dabbles in literature and has the book's theme of love warped by greed and status-seeking.",9781625581440,2012-12-12,http://books.google.com/books/content?id=6uHsAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL468488W
A Connecticut Yankee in King Arthur's Court,"A reduced facsim. of the 1st American ed., published in 1889.",,1963,http://books.google.com/books/content?id=OuhNAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL54031W
A Tale of Two Cities,"""It was the best of times, it was the worst of times."" Charles Dickens' classic novel tells the story of two Englishmen--degenerate lawyer Sydney Carton and aristocrat Charles Darnay--who fall in love with the same woman in the midst of the French Revolution's blood and terror. Originally published as 31 weekly instalments,A Tale of Two Cities has been adapted several times for film, serves as a rite of passage for many students, and is one of the most famous novels ever published. This is a free digital copy of a book that has been carefully scanned by Google as part of a project to make the world's books discoverable online. To make this print edition available as an ebook, we have extracted the text using Optical Character Recognition (OCR) technology and submitted it to a review process to ensure its accuracy and legibility across different screen sizes and devices. Google is proud to partner with libraries to make this book available to readers everywhere.",,1902,http://books.google.com/books/content?id=5EIPAAAAQAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL8193465W
